Station,Lat,Lon,Elevation,Name,Owner,Program,Ocean
46268,34.022,-118.578,0.0,"Topanga Nearshore, CA (103)",SCRIPPS,IOOS Partners,Pacific Ocean America
46273,32.93,-117.274,0.0,"Torrey Pines Inner, CA (101)",SCRIPPS,IOOS Partners,Pacific Ocean America
46274,33.062,-117.314,,"Leucadia Nearshore, CA (262)",SCRIPPS,IOOS Partners,Pacific Ocean America
46275,33.291,-117.501,0.0,"Red Beach Nearshore, CA (264)",SCRIPPS,IOOS Partners,Pacific Ocean America
46276,36.845,-121.825,0.0,"Pajaro Beach, CA (266)",SCRIPPS,IOOS Partners,Pacific Ocean America
46277,33.336,-117.659,0.0,"Green Beach Offshore, CA (271)",SCRIPPS,IOOS Partners,Pacific Ocean America
46278,45.561,-123.991,0.0,"Tillamook Bay South Jetty, OR (270)",SCRIPPS,IOOS Partners,Pacific Ocean America
46279,36.838,-121.82,0.0,"Pajaro Beach South, CA (267)",SCRIPPS,IOOS Partners,Pacific Ocean America
46280,44.575,-124.234,0.0,Newport PWS North (277),National Renewable Energy Laboratory,IOOS Partners,Pacific Ocean America
46281,44.559,-124.233,0.0,"Newport PWS South, OR (278)",National Renewable Energy Laboratory,IOOS Partners,Pacific Ocean America
46282,36.951,-121.921,0.0,"Aptos Creek Nearshore, CA 275",SCRIPPS,IOOS Partners,Pacific Ocean America
46304,49.3,-123.36,0.0,Entrance To English Bay,Environment and Climate Change Canada,International Partners,
48400,50.055,-144.873,0.0,Ocean Climate Station Papa,NOAA/PMEL,IOOS Partners,Pacific Ocean America
51001,24.451,-162.008,,"NORTHWESTERN HAWAII ONE - 188 NM NW of Kauai Island, HI",NDBC,NDBC Meteorological/Ocean,Pacific Ocean America
51201,21.671,-158.118,0.0,"Waimea Bay, HI (106)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51202,21.417,-157.68,0.0,"Mokapu Point, HI (098)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51205,21.018,-156.425,0.0,"Pauwela, Maui, HI (187)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51206,19.779,-154.97,0.0,"Hilo, Hawaii, HI (188)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51207,21.477,-157.752,0.0,"Kaneohe Bay, HI (198)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51208,22.285,-159.574,0.0,"Hanalei, Kauai, HI (202)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51209,-14.273,-170.501,0.0,"Aunuu, American Samoa (189)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51210,21.477,-157.757,0.0,"Kaneohe Bay, WETS, HI (225)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51211,21.297,-157.959,0.0,"Pearl Harbor Entrance, HI (233)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51212,21.323,-158.149,0.0,"Barbers Point, Kalaeloa, HI (238)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51213,20.75,-157.002,0.0,"Kaumalapau Southwest, Lanai, HI (239)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51214,-14.296,-170.875,0.0,"King-Poloa, American Samoa (273)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean America
51wh0,22.0,-157.0,0.0,WHOTS - Woods Hole Ocean Time-series,Woods Hole Oceanographic Institution,IOOS Partners,Pacific Ocean America
52202,13.683,144.816,0.0,"Ritidian Point, Guam (196)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean Asia
52211,15.268,145.662,0.0,"Tanapag, Saipan, NMI (197)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean Asia
52212,7.63,134.671,0.0,"Ngaraard, Babeldaob, Palau (219)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean Asia
52213,7.081,158.244,0.0,"North Point, Pohnpei, Micronesia (178)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean Asia
52215,5.241,163.001,0.0,"UTWE, KOSRAE, MICRONESIA (276)",Pacific Islands Ocean Observing System,IOOS Partners,Pacific Ocean Asia
53056,-5.0,95.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
62050,50.0,-4.4,,E1,UK Met Office,International Partners,Atlantic Ocean
62081,51.0,-13.55,0.0,K2 Buoy,UK Met Office,International Partners,Atlantic Ocean
62105,55.41,-11.81,0.0,K4 Buoy,UK Met Office,International Partners,Atlantic Ocean
62163,47.55,-8.47,0.0,Brittany Buoy,UK Met Office,International Partners,Atlantic Ocean
62442,49.0,-16.5,,Pap,UK Met Office,International Partners,Atlantic Ocean
64045,59.15,-11.79,0.0,K5 Buoy,UK Met Office,International Partners,Atlantic Ocean
cbcm2,39.223,-76.54,0.0,Curtis Bay Ch. Entrance (8574837),NOAA NOS PORTS,NOS/CO-OPS,Atlantic Ocean
ssbn7,33.838,-78.484,0.0,Sunset Beach Nearshore Waves (SUN2WAVE),CORMP,IOOS Partners,Atlantic Ocean
